事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,年月,日期,
大红门,丰台区,2,349,2018,2105.208333,1843.179514,48,0,24218,18/2,
大红门,丰台区,3,530,2018,2105.208333,1843.179514,48,0,24219,18/3,
大红门,丰台区,4,862,2018,2105.208333,1843.179514,48,0,24220,18/4,
大红门,丰台区,5,2334,2018,2105.208333,1843.179514,48,0,24221,18/5,
大红门,丰台区,6,2491,2018,2105.208333,1843.179514,48,0,24222,18/6,
大红门,丰台区,7,2248,2018,2105.208333,1843.179514,48,0,24223,18/7,
大红门,丰台区,8,3411,2018,2105.208333,1843.179514,48,0,24224,18/8,
大红门,丰台区,9,3347,2018,2105.208333,1843.179514,48,0,24225,18/9,
大红门,丰台区,10,2805,2018,2105.208333,1843.179514,48,0,24226,18/10,
大红门,丰台区,11,2537,2018,2105.208333,1843.179514,48,0,24227,18/11,
大红门,丰台区,12,2536,2018,2105.208333,1843.179514,48,0,24228,18/12,
德胜,西城区,1,803,2015,665.5625,449.9782456,48,0,24181,15/1,
德胜,西城区,2,830,2015,665.5625,449.9782456,48,0,24182,15/2,
德胜,西城区,3,870,2015,665.5625,449.9782456,48,0,24183,15/3,
德胜,西城区,4,766,2015,665.5625,449.9782456,48,0,24184,15/4,
德胜,西城区,5,897,2015,665.5625,449.9782456,48,0,24185,15/5,
德胜,西城区,6,987,2015,665.5625,449.9782456,48,0,24186,15/6,
德胜,西城区,7,432,2015,665.5625,449.9782456,48,0,24187,15/7,
德胜,西城区,8,979,2015,665.5625,449.9782456,48,0,24188,15/8,
德胜,西城区,9,865,2015,665.5625,449.9782456,48,0,24189,15/9,
德胜,西城区,10,996,2015,665.5625,449.9782456,48,0,24190,15/10,
德胜,西城区,11,1148,2015,665.5625,449.9782456,48,0,24191,15/11,
德胜,西城区,12,1218,2015,665.5625,449.9782456,48,0,24192,15/12,
德胜,西城区,1,1286,2016,665.5625,449.9782456,48,0,24193,16/1,
德胜,西城区,2,1231,2016,665.5625,449.9782456,48,0,24194,16/2,
德胜,西城区,3,1066,2016,665.5625,449.9782456,48,0,24195,16/3,
德胜,西城区,4,923,2016,665.5625,449.9782456,48,0,24196,16/4,
